date,confirmed_new,confirmed_cum,deaths_new,deaths_cum,recovered_new,recovered_cum,active
Jun 19,30927,2182035,682,111499,25067,956061,1114475
Jun 20,31963,2213998,550,112049,16880,972941,1129008
Jun 21,28095,2242093,283,112332,7414,980355,1149406
Jun 22,26558,2268651,292,112624,22574,1002929,1153908
Jun 23,33315,2301966,766,113390,17474,1020403,1168173
Jun 24,37945,2339911,688,114078,20202,1040605,1185228
Jun 25,38853,2378764,644,114722,11688,1052293,1211749
Jun 26,44726,2423490,598,115320,16410,1068703,1239467
Jun 27,43581,2467071,507,115827,12734,1081437,1269807
Jun 28,40691,2507762,250,116077,12019,1093456,1298229
Jun 29,36390,2544152,338,116415,23721,1117177,1310560
Jun 30,43865,2588017,613,117028,26157,1143334,1327655
Jul 1,52609,2640626,670,117698,21346,1164680,1358248
Jul 2,54869,2695495,671,118369,26411,1191091,1386035
Jul 3,57209,2752704,610,118979,44397,1235488,1398237
Jul 4,50693,2803397,273,119252,24917,1260405,1423740
Jul 5,42953,2846350,212,119464,29159,1289564,1437322
Jul 6,46733,2893083,234,119698,35383,1324947,1448438
Jul 7,51108,2944191,917,120615,29916,1354863,1468713
Jul 8,62459,3006650,813,121428,37816,1392679,1492543
Jul 9,57443,3064093,868,122296,33749,1426428,1515369
Jul 10,67021,3131114,855,123151,34067,1460495,1547468
Jul 11,62408,3193522,718,123869,29951,1490446,1579207
Jul 12,60964,3254486,477,124346,26638,1517084,1613056
Jul 13,57936,3312422,282,124628,32385,1549469,1638325
Jul 14,61834,3374256,785,125413,50726,1600195,1648648
Jul 15,65370,3439626,873,126286,45767,1645962,1667378
Jul 16,69984,3509610,924,127210,33671,1679633,1702767
Jul 17,76091,3585701,936,128146,61600,1741233,1716322
Jul 18,65389,3651090,879,129025,33986,1775219,1746846
Jul 19,63591,3714681,512,129537,27119,1802338,1782806
Jul 20,55896,3770577,390,129927,47651,1849989,1790661
Jul 21,63496,3834073,1039,130966,36594,1886583,1816524
Jul 22,68377,3902450,1103,132069,56054,1942637,1827744
Jul 23,70719,3973169,1082,133151,36980,1979617,1860401
Jul 24,74360,4047529,1150,134301,48457,2028074,1885154
Jul 25,65944,4113473,985,135286,33618,2061692,1916495
Jul 26,58631,4172104,552,135838,28437,2090129,1946137
Jul 27,54806,4226910,1079,136917,46474,2136603,1953390
Jul 28,58540,4285450,1144,138061,49291,2185894,1961495
Jul 29,63255,4348705,1449,139510,59150,2245044,1964151
Jul 30,68543,4417248,1231,140741,39921,2284965,1991542
Jul 31,66364,4483612,1323,142064,42607,2327572,2013976
Aug 1,60817,4544429,1207,143271,35331,2362903,2038255
Aug 2,53561,4597990,462,143733,17314,2380217,2074040
Aug 3,41963,4639953,505,144238,66581,2446798,2048917
Aug 4,51185,4691138,1265,145503,34882,2481680,2063955
Aug 5,51884,4743022,1328,146831,58457,2540137,2056054
Aug 6,53305,4796327,1248,148079,36531,2576668,2071580
Aug 7,60184,4856511,1287,149366,40299,2616967,2090178
Aug 8,55692,4912203,1109,150475,21503,2638470,2123258
Aug 9,48769,4960972,554,151029,26231,2664701,2145242
Aug 10,40171,5001143,432,151461,51233,2715934,2133748
Aug 11,54443,5055586,1334,152795,39414,2755348,2147443
Aug 12,55170,5110756,1486,154281,57255,2812603,2143872
Aug 13,51335,5162091,1149,155430,30601,2843204,2163457
Aug 14,55057,5217148,1234,156664,31943,2875147,2185337
Aug 15,55348,5272496,1190,157854,25041,2900188,2214454
Aug 16,42181,5314677,616,158470,22536,2922724,2233483
Aug 17,37240,5351917,400,158870,50863,2973587,2219460
Aug 18,39794,5391711,1205,160075,37511,3011098,2220538
Aug 19,43798,5435509,1369,161444,51233,3062331,2211734
Aug 20,43027,5478536,1122,162566,33579,3095910,2220060
Aug 21,49743,5528279,1113,163679,31508,3127418,2237182
Aug 22,46183,5574462,1013,164692,20662,3148080,2261690
Aug 23,36422,5610884,554,165246,18983,3167063,2278575
Aug 24,33618,5644502,348,165594,50918,3217981,2260927
Aug 25,36047,5680549,1136,166730,36301,3254282,2259537
Aug 26,42355,5722904,1260,167990,59579,3313861,2241053
Aug 27,43814,5766718,1118,169108,34079,3347940,2249670
Aug 28,45447,5812165,1009,170117,27898,3375838,2266210
Aug 29,44269,5856434,1007,171124,32961,3408799,2276511
Aug 30,36939,5893373,434,171558,16928,3425727,2296088
Aug 31,31658,5925031,399,171957,30536,3456263,2296811
Sep 1,41535,5966566,1021,172978,40650,3496913,2296675
Sep 2,37630,6004196,1016,173994,50119,3547032,2283170
Sep 3,42973,6047169,1066,175060,48957,3595989,2276120
Sep 4,50183,6097352,979,176039,80580,3676569,2244744
Sep 5,43725,6141077,903,176942,30431,3707000,2257135
Sep 6,33174,6174251,442,177384,18970,3725970,2270897
Sep 7,26850,6201101,224,177608,32659,3758629,2264864
Sep 8,22292,6223393,354,177962,38131,3796760,2248671
Sep 9,0,0,0,0,0,0,0
